DATOS,PAÍS,ODS,INDICADOR ODS,TIPO DE FUENTE,FUENTE,MÉTODO DE RECOLECCIÓN,OBJETIVO DE LOS DATOS,LEGISLACIÓN RECOLECCIÓN,LEGISLACIÓN CONFIDENCIALIDAD,LEGISLACIÓN RESTRICCIÓN A LA COMERCIALIZACIÓN,VARIABLES,INFORMACIÓN GENERADA,DESAGREGACIÓN GEOGRÁFICA,DISPONIBILIDAD,FORMATO,DISPONIBLE EN,FECHA DE CONSULTA,"PERIODICIDAD DE 
 DIFUSIÓN",ÚLTIMA PUBLICACIÓN,CATEGORIAS USUARIOS,USUARIOS DE LA INFORMACIÓN,OBSERVACIONES,CONSULTADO EN
ESTADÍSTICAS DE FACTURACIÓN DEL SERVICIO DE ENERGÍA ELÉCTRICA EN EL SISTEMA INTERCONECTADO NACIONAL,COLOMBIA,7 ENERGÍA ASEQUIBLE Y NO CONTAMINANTE,,SECTOR PÚBLICO,SUPERINTENDENCIA DE SERVICIOS PÚBLICOS DOMICILIARIOS,REGISTRO ADMINISTRATIVO,"Obtener, consolidar y difundir la información comercial de facturación del servicio público de energía eléctrica del sistema interconectado",,,,"FORMATO 2 ENERGÍA*NIU*CÓDIGO DANE*UBICACIÓN*DIRECCIÓN*ID FACTURA*FECHA DE EXPEDICIÓN DE LA FACTURA*FECHA INICIO DEL PERIODO DE FACTURACIÓN*DIAS*FACTURADOS*ESTRATO*TIPO DE LECTURA*CARGO DE INVERSIÓN*MERCADO*CONSUMOS*CONSUMO PROMEDIO MENSUAL*FACTURACIÓN POR CONSUMO**REFACTURACIÓN POR CONSUMO*VALOR DE REFACTURACIÓN*VALOR POR MORA*DÍAS DE MORA*VALOR COMPENSADO*REFACTURACIÓN COMPENSACIÓN*CONSUMO DE SUBSISTENCIA*VALOR DEL SUBSIDIO*REFACTURACIÓN SUBSIDIO*VALOR DE LA CONTRIBUCIÓN*REFACTURACIÓN CONTRIBUCIÓN*ID FACTURA FOES*FOES APLICADO*REFACTURACIÓN FOES
 VALOR TOTAL FACTURADO
 CÓDIGO DE ZONAS ESPECIAL
 CONTRIBUCIONES NO RECAUDADAS > 6 MESES
 CONTRIBUCIONES RECAUDADAS DESPUÉS DE CONCILIADAS SU NO RECAUDO
 TARIFA APLICADA
 FECHA DE REGISTRO CONTABLE
 TIPO DE FACTURA
 INQUILINATO
 NÚMERO DE FAMILIAS
 CEDULA CATASTRAL
 ACTO ADMINISTRATIVO
 Formato 3
 NIU
 CODIGO DANE
 UBICACIÓN (R/U/C)
 DIRECCIÓN
 ID FACTURA
 FECHA DE EXPEDICIÓN DE LA FACTURA
 FECHA DE INICIO DEL PERIODO DE FACTURACIÓN
 DÍAS FACTURADOS
 SECTOR
 TIPO DE TARIFA (R/NR)
 TIPO DE LECTURA
 CARGO DE INVERSIÓN
 ID MERCADO
 CONSUMO (kwH)
 CONSUMO PROMEDIO MENSUAL(kWh/mes)
 FACTURACIÓN POR CONSUMO ($)
 REFACTURACIÓN CONSUMO (kWh)
 VALOR REFACTURACIÓN ($)
 CONSUMO DE ENERGÍA REACTIVA (kVARH)
 FACTURACIÓN POR CONSUMO DE ENERGÍA REACTIVA ($)
 REFACTURACIÓN ENERGÍA REACTIVA(kVARh)
 VALOR REFACTURACIÓN ENERGÍA REACTIVA ($)
 VALOR POR MORA ($)
 DÍAS DE MORA
 VALOR COMPENSADO ($)
 REFACTURACIÓN COMPENSACIÓN ($)
 VALOR DE LA CONTRIBUCIÓN ($)
 REFACTURACIÓN CONTRIBUCIÓN ($)
 ID FACTURA FOES
 FOES APLICADO ($)
 REFACTURACIÓN FOES ($)
 VALOR TOTAL FACTURADO ($)
 CÓDIGO DE ZONA ESPECIAL
 CONTRIBUCIONES NO RECAUDADAS > 6 MESES ($)
 CONTRIBUCIONES RECAUDADAS DESPUES DE CONCILIADO SU NO RECAUDO ($)
 TARIFA APLICADA ($/kWh)
 FECHA DE REGISTRO CONTABLE
 TARIFA ENERGÍA REACTIVA ($/kVARh)
 TIPO DE FACTURA
 Valor del subsidio ($)
 Refacturación y ajuste del subsidio ($)
 CEDULA CATASTRAL",Facturación total ($)*Facturación por consumo ($)*Consumo total (kWh)*Nro. De suscriptores*Subsidios ($)*Contribuciones ($)*Promedio de Facturación total*Promedio de Facturación por consumo,Nacional*Departamental*Municipal,,,,,Anual mensual,,,creg * minminas * dnp * upme * sspd * otras entidades del estado * academia * entidades territoriales,,
ESTADISTICAS DE FORMACIÓN PROFESIONAL DEL SENA,COLOMBIA,4 EDUCACIÓN DE CALIDAD,,SECTOR PÚBLICO,SERVICIO NACIONAL DE APRENDIZAJE (SENA),REGISTRO ADMINISTRATIVO,Conocer las estadísticas relacionadas con la formación impartida por el SENA,,,,Regional*Centros de Formación*Departamento*Municipio*Formación*Programas Especiales*Tipo de Población*Edad*Género*Estrato Socioeconómico,Formación Técnica Profesional*Tecnológica y Especializaciones*formación Técnica Laboral y Otros*formación Complementaria*formación Profesional Integral,Nacional*Regional,,,,,Mensual,,,"* Entidades Externas (Ministerio de Trabajo * Ministerio de Educación * Departamento Nacional de Planeación * Contraloría General de la Nación * Presidencia * etc)
 * Direcciones y Oficinas de la Dirección General SENA
 * Regionales
 * Centros de Formación
 * Senadores y * Representantes a la Camara
 * Ciudadanos en general",,
ESTADÍSTICAS DE GESTIÓN DOCUMENTAL EN ENTIDADES DEL ORDEN NACIONAL,COLOMBIA,"16 PAZ, JUSTICIA E INSTITUCIONES SÓLIDAS",,SECTOR PÚBLICO,ARCHIVO GENERAL DE LA NACIÓN,REGISTRO ADMINISTRATIVO,Generar estadísticas sobre el estado de la gestión documental de entidades del nivel nacional para establecer acciones a ejecutar.,,,,"Diagnostico de gestión documental: elaborado por (entidad* nivel* sector)*Plan Institucional de Archivos -PINAR: elaborado*aprobado (entidad* nivel* sector)*Programa de Gestión Documental- PGD: Elaborado*Aprobado*Publicado en web*Implementado por (entidad* nivel* sector)*Sistema Integrado de Conservación - SIC: Elaborado* Grado de avance en SIC por (entidad*nivel*sector)*Tabla de retención Documental -TRD: Elaborada*Aprobada*Publicada en web*Implementada por (entidad*nivel*sector)
 *Reuniones efectivas del comité sobre gestión documental por (entidad*nivel*sector)",Entidades nacionales con Diagnóstico Elaborado*Entidades nacionales con PINAR (Elaborado*Aprobado)*Entidades nacionales con PGD (Elaborado*aprobado*publicado*implementado)*Entidades nacionales con SIC Elaborado*Avance de la entidad en actividades en SIC*Entidades nacionales con TRD (Elaborado*aprobado*publicado*implementado)*Entidades nacionales con Comité Institucional de Desarrollo Administrativo Creado que incluye tema de GD,Nacional,NO,,,,Anual,,,Archivo General de la Nación * MINTIC * DNP * DAFP * PGN * agremiaciones y asociaciones de archivos * empresas prestadoras de servicios archivísticos,,
ESTADÍSTICAS DE GESTIÓN DOCUMENTAL EN ENTIDADES DEL ORDEN TERRITORIAL,COLOMBIA,"16 PAZ, JUSTICIA E INSTITUCIONES SÓLIDAS",,SECTOR PÚBLICO,ARCHIVO GENERAL DE LA NACIÓN,REGISTRO ADMINISTRATIVO,Generar estadísticas sobre el estado de la gestión documental de entidades territoriales (alcaldías y gobernaciones) para establecer acciones a ejecutar.,,,,Diagnostico de gestión documental: elaborado por (entidad*nivel*categoría*región)*Plan Institucional de Archivos -PINAR: elaborado*aprobado (entidad*nivel*categoría* región)*Programa de Gestión Documental- PGD: Elaborado*Aprobado*Publicado en web*Implementado por (entidad*nivel*categoría*región)*Sistema Integrado de Conservación - SIC: Elaborado*Grado de avance en SIC por (entidad*nivel*categoría*región)*Tabla de retención Documental -TRD: Elaborada*Aprobada* Publicada en web*Implementada por (entidad*nivel*categoría*región)*Comité Interno de Archivo: creado por (entidad*nivel*categoría*región),Número de entidades territoriales con Diagnóstico Elaborado*Entidades territoriales con PINAR (Elaborado*Aprobado)*Entidades territoriales con PGD (Elaborado*aprobado*publicado*implementado)*Entidades territoriales con SIC Elaborado)*Avance de la entidad en actividades en SIC*Entidades territoriales con TRD (Elaborado*aprobado*publicado*implementado)*Entidades territoriales con Comité Interno de Archivo Creado,Departamental*Municipal,NO,,,,Semestral,,,Archivo General de la Nación * MINTIC * DNP * DAFP * PGN * agremiaciones y asociaciones de archivos * empresas prestadoras de servicios archivísticos,,
ESTADÍSTICAS DE HABILITACION Y PERMISO DE OPERACIONES PARA EMPRESAS DE TRANSPORTE MARÍTIMO,COLOMBIA,,,SECTOR PÚBLICO,DIRECCIÓN GENERAL MARÍTIMA (DIMAR),REGISTRO ADMINISTRATIVO,Conocer el volumen de empresas nacionales y extranjeras de transporte marítimo habilitadas y con permiso de operación,,,,Empresas nacionales o extranjeras*Tipo de carga de las empresas (contenedores*a granel-líquido*pasajeros)*Tipo de servicio de empresas (cabotaje -internacional)*Tipo de servicio (Operadoras y no operadoras),Empresas habilitadas con permiso operación,Nacional*Regional,,,,,Anual,,,"-Ministerio de transporte
  -Ministerio de Comercio * Industria y Turismo
 -Alcaldías Municipales
  -Gobernaciones 
 -Departamentos Costeros
 -Agencia Nacional de Infraestructura (ANI)
 -Departamento Nacional de Planeacion (DNP)
 -Consultores en general
 -Gremio marítimo",,
ESTADÍSTICAS DE IDENTIFICACIÓN Y REGISTRO CIVIL,COLOMBIA,,,SECTOR PÚBLICO,REGISTRADURÍA NACIONAL DEL ESTADO CIVIL,REGISTRO ADMINISTRATIVO,"Identificar a la población colombiana en materia de Registro Civil (registro civil de nacimiento, matrimonio y defunción) e identificación (Tarjeta de Identidad y cédula de ciudadanía) y finalmente consultas y tratamientos de información por parte de entidades publica o privados con función publica y por parte de particulares",,,,Registro civil de matrimonio: número serial*identificación de la oficina de registro*datos del matrimonio*datos de los contrayentes*datos del denunciante*fecha de inscripción*capitulaciones matrimoniales*hijos legitimados por el matrimonio*providencias*registro civil de nacimiento: datos de la oficina de registro*datos del inscrito (identificación del inscrito*fecha de nacimiento*sexo*grupo sanguineo*lugar de nacimiento*número certificado de nacido vivo)*datos de la madre*datos del padre*datos del declarante*fecha de inscripción. registro de defunción: datos de oficna de registro*datos de la defunción (lugar de la defunción*fecha de la defunción*número de certificado de defunción*presunción de muerte)*nombre*nacionalidad*sexo y estado civil del difunto*con expresión del folio del registro de su nacimiento*número de la cédula de ciudadanía o tarjeta de identidad del occiso y lugar de su expedición*datos del denunciante*fecha de inscripción. Tarjeta de identidad y Cedula de ciudadania: Campos biograficos y biometricos tanto publicos como con reserva legal.,Total de Matrimonios inscritos*Total de Defunciones inscritos*Total de Cedulas de Ciudadanías expedidas*Total de Tarjetas de identidad expedidas*Total de Registros de nacimientos inscritos y Total de consultas y/o tratamientos de información.,Nacional*Regional*Área metropolitana*Departamental*Municipal,,,,,Anual semestral trimestral,,,Coordinacion de Produccion & Envios * Coordinacion de Validacion y Produccion de Registro Civil y Coordinacion de Acceso a la Informacion y Porteccion de Datos Personales.,,
ESTADÍSTICAS DE INCLUSIÓN FINANCIERA,COLOMBIA,10 REDUCCIÓN DE LAS DESIGUALDADES,,SECTOR PÚBLICO,BANCA DE LAS OPORTUNIDADES,REGISTRO ADMINISTRATIVO,"Proveer de información estadística consolidada de los productos financieros (depósito y crédito) ofrecidos por entidades vigiladas por la Superintendencia Financiera de Colombia y Superintendencia Solidaria; por las micro, pequeñas y medianas empresas; y algunas ONGS microcrediticias.",,,,Oficinas de Bancos*compañías de financiamiento*cooperativas financieras vigiladas Superfinanciera y Supersolidaria y ONGs*Corresponsales bancarios que prestan servicios a las distintas entidades vigiladas Superfinanciera y Supersolidaria y sus transacciones asociadas (monto y número).*Desembolsos y saldos de cartera por modalidad de crédito.*Cuentas de ahorro y cuentas CAE* Cobertura Financiera: Puntos de acceso financiero (oficinas y corresponsales)*Desembolsos por modalidad de credito*Saldos de Cartera por modalidad de crédito*Cuentas de ahorro,número de oficinas de Bancos*compañías de financiamiento*cooperativas financieras vigiladas Superfinanciera y Supersolidaria y ONGs*número de corresponsales bancarios que prestan servicios de las entidades vigiladas por Superfinanciera y Supersolidaria*número y monto de las transacciones realizadas a través de corresponsales bancarios (desagregado por tipo de transacción y por entidad)*número y monto de desembolsos por modalidad de crédito*número de cuentas de ahorro segmentadas entre cuentas activas inactivas y totales*Saldo en cuentas de ahorro*Saldo de cartera por modalidad de crédito por tipo de entidad,Nacional*Departamental*Municipal,,,,,Anual Bimestral Trimestral,,,Diversas entidades del Gobierno * entidades financieras * gremios * académicos * organismos multilaterales y población general.,,
ESTADÍSTICAS DE INFRAESTRUCTURA DE LAS CAJAS DE COMPENSACIÓN,COLOMBIA,,,SECTOR PÚBLICO,SUPERINTENDENCIA DE SUBSIDIO FAMILIAR,REGISTRO ADMINISTRATIVO,"Contar con información de la infraestructura con la que cuentan las cajas para la prestación de los servicios, para la toma de decisiones sobre el tema.",,,,Servicios sociales*Infraestructura tecnica:propia*arrendada*copropietario*arrendatario*administración*comodato*conocesión*concedente*convenio.,Tipo de Tenencia de infraestructura según Caja de Compensación Familiar (CCF)*Tipo de Tenencia de infraestructura según CCF por región geográfica*Tipo de Tenencia de infraestructura según CCF por departamento*Tipo de Tenencia de infraestructura según CCF por ciudad*Tipo de Tenencia de infraestructura según CCF por servicio Social,Nacional*Regional*Departamental*Municipal,,,,,Anual,,,Ministerio de trabajo *Dnp * Dane * Cajas de Compensacion Familiar * Banco de la Republica * universidades * publico en general * usuarios,,
ESTADÍSTICAS DE INSPECCIÓN SANITARIA A SISTEMAS DE SUMINISTRO DE AGUA,COLOMBIA,6 AGUA LIMPIA Y SANEAMIENTO,,SECTOR PÚBLICO,INSTITUTO NACIONAL DE SALUD (INS),REGISTRO ADMINISTRATIVO,"Identificar los riesgos que pueda presentar la infraestructura, para el suministro y distribución del agua para consumo .",,,,Personas Prestadoras*Horas por días*suscriptores*población atendida y numeros de viviendas.,Índice de Riesgo por Abastecimiento de agua-IRABA*Índice de Tratamiento-IT*Índice de Continuidad-IC *Índice de Riesgo por Distribución Persona Prestador-IRDpp*Índice de Riesgo por Distribución Municipal-IRDm,Nacional*Regional*Departamental*Municipal,,,,,Anual,,,"Autoridades Sanitarias de Salud * departamentales * distritales y municipales.
 Personas Prestadoras del servicio de acueducto * públicas y privadas.
 Alcaldías y Gobernaciones del país.
 Sector de aguas del país (MVCT *MSPS * MADS *SSPD *IDEAM *SENA).
 Organos de Control ( PGN *CGR *DP *DNP *CRA).",,
ESTADISTICAS DE INSTITUCIONES PÚBLICAS Y PRIVADAS ASESORADAS EN MATERIA DE ACCESIBILIDAD PARA PERSONAS CON DISCAPACIDAD VISUAL,COLOMBIA,10 REDUCCIÓN DE LAS DESIGUALDADES,,SECTOR PÚBLICO,INSTITUTO NACIONAL PARA CIEGOS (INCI),MÚLTIPLES FUENTES,Contar con estadísticas de las entidades asesoradas en accesibilidad web y al espacio físico para el acceso a la información y las comunicaciones de población con discapacidad visual y que son capacitados a través de los diferentes programas y proyectos de la entidad,,,,Nombre Entidad*Número de Identificación Tributaria*Dirrecion*Telefono*Representante legal*Numero de personas que atienden con Discapacidad visual*URL*nivel de accesiiblidad,Instituciones que cuentan con páginas web y espacios físicos accesibles,Nacional*Departamental*Municipal*Comuna*localidad,,,,,Anual,,,Personas con discapacidad visual * padres de familia * docentes * ciudadanía en general,,
ESTADÍSTICAS DE INVERSIÓN EN INFRAESTRUCTURA,COLOMBIA,"9 INDUSTRIA, INNOVACIÓN E INFRAESTRUCTURA",,SECTOR PÚBLICO,DEPARTAMENTO NACIONAL DE PLANEACIÓN (DNP),REGISTRO ADMINISTRATIVO,"Brindar de manera consolidada información referente a la inversión tanto publica o privada destinada a infraestructura, disponible de forma desagregada por sectores",,,,Monto de inversión privada*monto de inversión pública*empresa*fuente de inversión realizada.,Porcentaje de Inversión Pública y Privada en infraestructura por sector*Porcentaje de Inversión Privada en infraestructura por sector*Porcentaje de Inversión Pública en infraestructura por sector*Inversión Pública y Privada en infraestructura como porcentaje del PIB*Inversión Privada en infraestructura como porcentaje del PIB*Inversión Pública en infraestructura como porcentaje del PIB,Nacional,,,,,Anual,,,Dependencias internas del Departamento Nacional de Planeación DNP y público en general,,
"ESTADÍSTICAS DE INVERSIÓN EN INFRAESTRUCTURA PORTURIA, MARÍTIMA Y FLUVIAL",COLOMBIA,"9 INDUSTRIA, INNOVACIÓN E INFRAESTRUCTURA",,SECTOR PÚBLICO,SUPERINTENDENCIA DE PUERTOS Y TRANSPORTE,REGISTRO ADMINISTRATIVO,Obtener información estadística de las inversiones reportadas por las sociedades portuarias marítimas y fluviales las cuales son aprobadas por las entidades concedentes ANI y Cormagdalena,,,,Información del contrato (contratista*valor contratado*fecha de inicio*fecha de finalización programada y modificada)*Manteminiento de maquinaria*equipo y sistemas*obras civiles e inversión maquinaria* equipo y sistemas* obras civiles de uso público y privado,Porcentaje de ejecución de obras* No. De equipos portuarios,Nacional*Área Metropolitana*Departamental*Municipal,,,,,No aplica,,,"-departamento administrativo nacional de estadistica (dane)
 -agencia nacional de infraestructura (ani)",,
ESTADÍSTICAS DE LA CONCILIACIÓN EN DERECHO,COLOMBIA,"16 PAZ, JUSTICIA E INSTITUCIONES SÓLIDAS",,SECTOR PÚBLICO,MINISTERIO DE JUSTICIA Y DEL DERECHO,REGISTRO ADMINISTRATIVO,"Contar con información que permita controlar, inspeccionar y vigilar a los centros de conciliación y /o arbitraje; y proporcionar información básica para la formulación de políticas en el tema de la conciliación en derecho de acuerdo a la normatividad vigente.",,,,"Área (materia)*tema*naturaleza del citado*naturaleza del solicitante*resultado de la conciliación*tipo de asunto*tipo de citado*tipo de solicitante.
 Identificación de las partes*duración del trámite*cuantía*identificación del conciliador*seguimiento",Número de solicitudes por año*número de solicitudes por materia*resultado de las solicitudes*duración del trámite*resultados por tipo de centro de conciliación (privados*consultorios jurídicos de universidades*entidades públicas),Nacional*Departamental*Municipal,,,,,Semestral,,,DNP * contraloría * Agencia Nacional de Defensa Jurídica del Estado * Congreso de la República * Personería * Procuraduría * ONG * centros de estudio de justicia * investigadores. Usuarios internos,,
ESTADÍSTICAS DE LA DISPONIBILIDAD DE PRONÓSTICOS METEOMARINOS,COLOMBIA,,,SECTOR PÚBLICO,DIRECCIÓN GENERAL MARÍTIMA (DIMAR),REGISTRO ADMINISTRATIVO,Producir pronósticos meteomarinos sobre el comportamiento climático del Caribe y Pacífico Colombiano,,,,Número de pronóstico*fecha de pronóstico*tipo*zona geográfica,número de pronósticos meteomarinos por periodo de tiempo,Nacional*Regional,,,,,Semestral,,,"-Ministerio de transporte
 -Ministerio de Comercio * Industria y Turismo
  -Alcaldías Municipales
 -Gobernaciones
 -Departamentos Costeros
 -Agencia Nacional de Infraestructura (ANI)
 -Departamento Nacional de Planeacion (DNP)
 -Consultores en general
 -Gremio marítimo
 -Sociedades portuarias
 -Navieras
 -Empresas de Transporte
 -Cormagdalena
 -Veleros
 -Clubes náuticos
 -Empresas de actividad pesquera",,
ESTADÍSTICAS DE LA EXPEDICIÓN DE LICENCIAS Y/O TÍTULOS A GENTE DE MAR,COLOMBIA,,,SECTOR PÚBLICO,DIRECCIÓN GENERAL MARÍTIMA (DIMAR),REGISTRO ADMINISTRATIVO,"Establecer el número de títulos, licencias y documento de identificación del marino expedido por la Dirección General Marítima en un periodo de tiempo",,,,número De personas por especialidad*número De licencia/titulos/DIM por vigencias*número De personas por tipo de labor efectuadas,Número de personas por especialidad*No. De licencia/títulos/DIM por vigencias y especialidad,Nacional*Regional,,,,,Semestral,,,"-Ministerio de transporte
  -Ministerio de Comercio * Industria y Turismo
 -Alcaldías Municipales
  -Gobernaciones 
 -Departamentos Costeros
 -Agencia Nacional de Infraestructura (ANI)
 -Departamento Nacional de Planeacion (DNP)
 -Consultores en general
 -Gremio marítimo",,
ESTADÍSTICAS DE LA OPERACIÓN DE LOS SISTEMAS INTEGRADOS DE TRANSPORTE MASIVO,COLOMBIA,11 CIUDADES Y COMUNIDADES SOSTENIBLES,,SECTOR PÚBLICO,MINISTERIO DE TRANSPORTE,REGISTRO ADMINISTRATIVO,Presentar información estadística para el monitoreo y seguimiento a la operación de los Sistemas Integrados de Transporte masivo.,,,,Flota en operación*Pasajeros pagos*Kilómetros en operación.Ingresos diarios del sistema,Total flota del sistema*Porcentaje de viajes realizados asociados a movilidad activa cuantificada en 6 ciudades*cantidad de pasajeros transportados*Total Kilómetros efectivamente recorridos en operación*Pasajeros usando el sistema por hora y sentido de circulación*Proporción de los pasajeros pagos del sistema que usan servicios de alimentación,Municipal,,,,,Trimestral,,,"-Departamento Nacional de Planeacion (DNP)
  -Ministerio de Hacienda
 -Congreso de la Republica
 -Publico en General",,
ESTADÍSTICAS DE LA POBLACIÓN BENEFICIADA POR EL PROGRAMA MÁS FAMILIAS EN ACCIÓN,COLOMBIA,5 IGUALDAD DE GÉNERO,,SECTOR PÚBLICO,DEPARTAMENTO ADMINISTRATIVO PARA LA PROSPERIDAD SOCIAL (DPS),REGISTRO ADMINISTRATIVO,"Generar información estadística sobre el tipo de población beneficiada, a partir del cumplimiento de los compromisos establecidos por el programa más familias en acción.",,,,Departamento*municipio*grupo de intervención*jefe de hogar*nombres beneficiarios*apellidos beneficiarios*género*edad*fecha nacimiento*tipo identificación* documento*fecha expedición documento*tipo de población*puntaje sisben*grado de escolaridad.,número de Beneficiarios*Inversión realizada,Nacional*Regional*Departamental*Municipal,,,,,Anual Cuatrienal Mensual,,,"*DPS
 - Sector Inclusión Social y Reconciliación (Instituto Colombiano de Bienestar Familiar * Agencia Nacional para la Superación de la Pobreza Extrema * Unidad para la Atención y Reparación Integral a las Víctimas * Centro de Memoria Historica * Unidad Administrativa Especial para la Consolidación Territorial)
 - Presidencia de la República
 - Ministerios
 - Departamentos Administrativos
 - Público en General",,
ESTADÍSTICAS DE LA POBLACIÓN BENEFICIADA POR EL PROGRAMA MÁS FAMILIAS EN ACCIÓN,COLOMBIA,10 REDUCCIÓN DE LAS DESIGUALDADES,,SECTOR PÚBLICO,DEPARTAMENTO ADMINISTRATIVO PARA LA PROSPERIDAD SOCIAL (DPS),REGISTRO ADMINISTRATIVO,"Generar información estadística sobre el tipo de población beneficiada, a partir del cumplimiento de los compromisos establecidos por el programa más familias en acción.",,,,Departamento*municipio*grupo de intervención*jefe de hogar*nombres beneficiarios*apellidos beneficiarios*genero*edad*fecha nacimiento*tipo identificación*documento* fecha expedición documento*tipo de población*puntaje sisben*grado de escolaridad.,número de Beneficiarios*Inversión realizada,Nacional*Regional*Departamental*Municipal,,,,,Anual Cuatrienal Mensual,,,"*DPS
 - Sector Inclusión Social y Reconciliación (Instituto Colombiano de Bienestar Familiar * Agencia Nacional para la Superación de la Pobreza Extrema * Unidad para la Atención y Reparación Integral a las Víctimas * Centro de Memoria Historica * Unidad Administrativa Especial para la Consolidación Territorial)
 - Presidencia de la República
 - Ministerios
 - Departamentos Administrativos
 - Público en General",,
ESTADÍSTICAS DE LA POBLACIÓN BENEFICIADA POR EL PROGRAMA MÁS FAMILIAS EN ACCIÓN,COLOMBIA,3 SALUD Y BIENESTAR,,SECTOR PÚBLICO,DEPARTAMENTO ADMINISTRATIVO PARA LA PROSPERIDAD SOCIAL (DPS),REGISTRO ADMINISTRATIVO,"Generar información estadística sobre el tipo de población beneficiada, a partir del cumplimiento de los compromisos establecidos por el programa más familias en acción.",,,,Departamento*municipio*grupo de intervención*jefe de hogar*nombres beneficiarios*apellidos beneficiarios*genero*edad*fecha nacimiento*tipo identificación* documento*fecha expedición documento*tipo de población*puntaje sisben*grado de escolaridad.,número de Beneficiarios*Inversión realizada,Nacional*Regional*Departamental*Municipal,,,,,Anual Cuatrienal Mensual,,,"*DPS
 - Sector Inclusión Social y Reconciliación (Instituto Colombiano de Bienestar Familiar * Agencia Nacional para la Superación de la Pobreza Extrema * Unidad para la Atención y Reparación Integral a las Víctimas * Centro de Memoria Historica * Unidad Administrativa Especial para la Consolidación Territorial)
 - Presidencia de la República
 - Ministerios
 - Departamentos Administrativos
 - Público en General",,
ESTADÍSTICAS DE LA POBLACIÓN BENEFICIADA POR EL PROGRAMA MÁS FAMILIAS EN ACCIÓN,COLOMBIA,4 EDUCACIÓN DE CALIDAD,,SECTOR PÚBLICO,DEPARTAMENTO ADMINISTRATIVO PARA LA PROSPERIDAD SOCIAL (DPS),REGISTRO ADMINISTRATIVO,"Generar información estadística sobre el tipo de población beneficiada, a partir del cumplimiento de los compromisos establecidos por el programa más familias en acción.",,,,Departamento*municipio*grupo de intervención*jefe de hogar*nombres beneficiarios*apellidos beneficiarios*genero* edad*fecha nacimiento*tipo identificación*documento*fecha expedición documento*tipo de población*puntaje sisben*grado de escolaridad.,número de Beneficiarios*Inversión realizada,Nacional*Regional*Departamental*Municipal,,,,,Anual Cuatrienal Mensual,,,"*DPS
 - Sector Inclusión Social y Reconciliación (Instituto Colombiano de Bienestar Familiar * Agencia Nacional para la Superación de la Pobreza Extrema * Unidad para la Atención y Reparación Integral a las Víctimas * Centro de Memoria Historica * Unidad Administrativa Especial para la Consolidación Territorial)
 - Presidencia de la República
 - Ministerios
 - Departamentos Administrativos
 - Público en General",,
ESTADÍSTICAS DE LA POBLACIÓN BENEFICIADA POR EL PROGRAMA MÁS FAMILIAS EN ACCIÓN,COLOMBIA,1 FIN DE LA POBREZA,,SECTOR PÚBLICO,DEPARTAMENTO ADMINISTRATIVO PARA LA PROSPERIDAD SOCIAL (DPS),REGISTRO ADMINISTRATIVO,"Generar información estadística sobre el tipo de población beneficiada, a partir del cumplimiento de los compromisos establecidos por el programa más familias en acción.",,,,Departamento*municipio*grupo de intervención*jefe de hogar*nombres beneficiarios*apellidos beneficiarios*genero*edad*fecha nacimiento*tipo identificación*documento*fecha expedición documento*tipo de población*puntaje sisben*grado de escolaridad.,número de Beneficiarios*Inversión realizada,Nacional*Regional*Departamental*Municipal,,,,,Anual Cuatrienal Mensual,,,"*DPS
 - Sector Inclusión Social y Reconciliación (Instituto Colombiano de Bienestar Familiar * Agencia Nacional para la Superación de la Pobreza Extrema * Unidad para la Atención y Reparación Integral a las Víctimas * Centro de Memoria Historica * Unidad Administrativa Especial para la Consolidación Territorial)
 - Presidencia de la República
 - Ministerios
 - Departamentos Administrativos
 - Público en General",,
ESTADÍSTICAS DE LA RED DE VIGILANCIA PARA LA CONSERVACION Y PROTECCIÓN DE LA CALIDAD DE LAS AGUAS MARINAS Y COSTERAS DE COLOMBIA (REDCAM),COLOMBIA,14 VIDA SUBMARINA,,SOCIEDAD CIVIL,INSTITUTO DE INVESTIGACIONES MARINAS Y COSTERAS (INVEMAR),ENCUESTA POR MUESTREO,"Monitorear la calidad para la preservación de la fauna y flora o el uso recreacional de las aguas marino costeras a fin de contribuir con las bases y referentes científicos sobre la calidad ambiental marina y costera colombiana, así como mantener una red de vigilancia que comprenda la franja marino-costera, de manera que posibilite el manejo integrado y aprovechamiento sostenido de sus aguas, sedimentos y recursos naturales asociados.",,,,Variables fisico-quimicas*nutrientes*microbiológicos*hidrocarburos*plaguicidas y metales pesados.,Indicador de la Calidad de las Aguas marinas*ICAM (no incluye metales ni plaguicidas) para aguas marinas y estuarinas*No fluviales,No aplica,,,,,Anual,,,Ministerio de Ambiente yDesarrollo Sostenible- MADS * Corporaciones Autonomas Regionales-CARS * Sistema de Información Nacional Ambiental-SINA * Academia,,
